30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
24.7140625	26.6171875	28.5203125	30.4234375	87.5	87.5	87.5	87.5
19.95625	21.04375	22.13125	23.21875	50	50	50	50
30.77191011	31.46853933	32.16516854	32.86179775	5	5	5	5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
19.95625	21.04375	22.13125	23.21875	50	50	50	50
13.0475	13.4225	13.7975	14.1725	62.5	62.5	62.5	62.5
30.80674157	31.57303371	32.33932584	33.10561798	5.5	5.5	5.5	5.5
30.80674157	31.57303371	32.33932584	33.10561798	5.5	5.5	5.5	5.5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
30.80674157	31.57303371	32.33932584	33.10561798	5.5	5.5	5.5	5.5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
30.80674157	31.57303371	32.33932584	33.10561798	5.5	5.5	5.5	5.5
30.80674157	31.57303371	32.33932584	33.10561798	5.5	5.5	5.5	5.5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
13.6506518	13.89078902	14.13092624	14.37106346	50	50	50	50
13.6506518	13.89078902	14.13092624	14.37106346	50	50	50	50
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
15.215	15.545	15.875	16.205	37.5	37.5	37.5	37.5
15.215	15.545	15.875	16.205	37.5	37.5	37.5	37.5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
18.08235239	19.77682287	21.47129335	23.16576382	80	80	80	80
18.08235239	19.77682287	21.47129335	23.16576382	80	80	80	80
20.010625	21.206875	22.403125	23.599375	55	55	55	55
23.39244635	24.54051502	25.68858369	26.83665236	12.5	12.5	12.5	12.5
30.77191011	31.46853933	32.16516854	32.86179775	5	5	5	5
30.85898876	31.72977528	32.6005618	33.47134831	6.25	6.25	6.25	6.25
38.935	39.14726415	39.3595283	39.57179245	3.75	3.75	3.75	3.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
24.7140625	26.6171875	28.5203125	30.4234375	87.5	87.5	87.5	87.5
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
30.77191011	31.46853933	32.16516854	32.86179775	5	5	5	5
14.9975	15.6725	16.3475	17.0225	112.5	112.5	112.5	112.5
24.7140625	26.6171875	28.5203125	30.4234375	87.5	87.5	87.5	87.5
38.91377358	39.08358491	39.25339623	39.42320755	3	3	3	3
23.99300752	24.13962406	24.2862406	24.43285714	7.5	7.5	7.5	7.5
19.95625	21.04375	22.13125	23.21875	50	50	50	50
19.95625	21.04375	22.13125	23.21875	50	50	50	50
19.95625	21.04375	22.13125	23.21875	50	50	50	50
38.91377358	39.08358491	39.25339623	39.42320755	3	3	3	3
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
38.91377358	39.08358491	39.25339623	39.42320755	3	3	3	3
23.98078947	24.10296992	24.22515038	24.34733083	6.25	6.25	6.25	6.25
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
20.62	21.1	21.58	22.06	18.75	18.75	18.75	18.75
23.98078947	24.10296992	24.22515038	24.34733083	6.25	6.25	6.25	6.25
